E: 04/12/2023 11:00 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[] || Error in sql query:  [--] 
E: 04/12/2023 11:02 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[] || Error in sql query:  [--] 
E: 04/12/2023 11:02 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[] || Error in sql query:  [--] 
E: 21/12/2023 13:24 :- [file:C:\xampp\htdocs\pl_crm\main\pages\invoice\index.php, line:154, Err_Info[] || Unabled to save billing items data. Invoice ID: 1, Invoice No: 202312/02. [--] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'invoice_id' in 'field list'
E: 02/01/2024 12:26 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[] || Error in sql query:  [--] 
E: 03/01/2024 13:08 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[Array to string conversion] || Error in sql query:  [--] 
E: 03/01/2024 13:09 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[Array to string conversion] || Error in sql query:  [--] 
E: 03/01/2024 18:52 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:620, Err_Info[Undefined array key "plcrm_client_id"] || Error in sql query:  [--] 
E: 17/01/2024 16:34 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:198, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 16:36 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:198, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 16:48 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:198, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 16:54 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:198, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:04 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:198, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:08 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:08 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:09 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:12 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:23 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:32 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- Invalid address:  (From): root@localhost
E: 17/01/2024 17:40 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/TroubleshootingSMTP server error: QUIT command failed
E: 17/01/2024 17:41 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:41 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:202, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/TroubleshootingSMTP server error: QUIT command failed
E: 17/01/2024 17:43 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:203, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 17:55 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:207, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 18:24 :- [file:C:\xampp\htdocs\pl_crm\main\pages\profile.php, line:68, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 18:25 :- [file:C:\xampp\htdocs\pl_crm\main\pages\profile.php, line:69, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 18:27 :- [file:C:\xampp\htdocs\pl_crm\main\pages\profile.php, line:69, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 18:51 :- [file:C:\xampp\htdocs\pl_crm\main\pages\profile.php, line:69, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 17/01/2024 18:55 :- [file:C:\xampp\htdocs\pl_crm\library\function.php, line:207, Err_Info[] || Sending Mail:  [--] Test Mail :- SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
E: 22/01/2024 17:28 :- [file:C:\xampp\htdocs\pl_crm\ajax\ajax_handler.php, line:2022, Err_Info[move_uploaded_file(): Unable to move &quot;C:\xampp\tmp\php17A3.tmp&quot; to &quot;C:\xampp\htdocs\pl_crm/assets/uploads/chat/_20240122.png&quot;] || Chat File Upload Failed. [--] 0
E: 22/01/2024 17:40 :- [file:C:\xampp\htdocs\pl_crm\ajax\ajax_handler.php, line:2024, Err_Info[move_uploaded_file(): Unable to move &quot;C:\xampp\tmp\php1938.tmp&quot; to &quot;C:\xampp\htdocs\pl_crm/assets/uploads/chat/files_20240122_174038_17:40:38.zip&quot;] || Chat File Upload Failed. [--] 0
E: 04/03/2024 15:24 :- [file:/home2/papercup/papercup_crm/ajax/ajax_handler.php, line:1333, Err_Info[] || unabled to record log off for the employee id: 6, Attendance ID: 350 [--] SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 's health issue ' WHERE client_id='1001' AND id='350' AND employee_id='6'' at line 1
